Point Number , Temperature ,Uncertainty,,,,,
637,55.255226,0.062875627,,,,,
638,55.255226,0.062875627,,,,,
639,55.536816,0.063197199,,,,,
640,55.255226,0.062875627,,,,,
641,55.237626,0.062855528,,,,,
642,55.272825,0.062895724,,,,,
643,55.272825,0.062895724,,,,,
644,55.308024,0.062935921,,,,,
645,55.272825,0.062895724,,,,,
646,55.660012,0.063337887,,,,,
647,55.642412,0.063317788,,,,,
648,55.325623,0.062956019,,,,,
649,55.308024,0.062935921,,,,,
650,55.642412,0.063317788,,,,,
651,55.308024,0.062935921,,,,,
652,55.783207,0.063478574,,,,,
653,55.290424,0.062915822,,,,,
654,55.343223,0.062976118,,,,,
655,55.360822,0.062996216,,,,,
656,55.624813,0.06329769,,,,,
657,55.660012,0.063337887,,,,,
658,55.71281,0.063398181,,,,,
659,55.360822,0.062996216,,,,,
660,55.360822,0.062996216,,,,,
661,55.69521,0.063378082,,,,,
662,55.343223,0.062976118,,,,,
663,55.360822,0.062996216,,,,,
664,55.730409,0.063418279,,,,,
665,55.71281,0.063398181,,,,,
666,55.360822,0.062996216,,,,,
667,55.396021,0.063036413,,,,,
668,55.730409,0.063418279,,,,,
669,55.396021,0.063036413,,,,,
670,55.660012,0.063337887,,,,,
671,55.783207,0.063478574,,,,,
672,55.730409,0.063418279,,,,,
673,55.396021,0.063036413,,,,,
674,55.41362,0.06305651,,,,,
675,55.748009,0.063438378,,,,,
676,55.800807,0.063498673,,,,,
677,55.41362,0.06305651,,,,,
678,55.730409,0.063418279,,,,,
679,55.43122,0.063076609,,,,,
680,55.41362,0.06305651,,,,,
681,55.43122,0.063076609,,,,,
682,55.43122,0.063076609,,,,,
683,55.800807,0.063498673,,,,,
684,55.448819,0.063096707,,,,,
685,55.818406,0.063518771,,,,,
686,55.43122,0.063076609,,,,,
687,55.466418,0.063116805,,,,,
688,55.677611,0.063357985,,,,,
689,55.624813,0.06329769,,,,,
690,55.448819,0.063096707,,,,,
691,55.484018,0.063136904,,,,,
692,55.448819,0.063096707,,,,,
693,55.484018,0.063136904,,,,,
694,55.818406,0.063518771,,,,,
695,55.448819,0.063096707,,,,,
696,55.43122,0.063076609,,,,,
697,55.800807,0.063498673,,,,,
698,55.800807,0.063498673,,,,,
699,55.448819,0.063096707,,,,,
700,55.800807,0.063498673,,,,,
701,55.748009,0.063438378,,,,,
702,55.783207,0.063478574,,,,,
703,55.466418,0.063116805,,,,,
704,55.783207,0.063478574,,,,,
705,55.466418,0.063116805,,,,,
706,55.466418,0.063116805,,,,,
707,55.501617,0.063157002,,,,,
708,55.484018,0.063136904,,,,,
709,55.501617,0.063157002,,,,,
710,55.818406,0.063518771,,,,,
711,55.466418,0.063116805,,,,,
712,55.836005,0.063538868,,,,,
713,55.800807,0.063498673,,,,,
714,56.011999,0.063739851,,,,,
715,55.484018,0.063136904,,,,,
716,55.853605,0.063558967,,,,,
717,55.501617,0.063157002,,,,,
718,55.484018,0.063136904,,,,,
719,55.484018,0.063136904,,,,,
720,55.484018,0.063136904,,,,,
721,55.484018,0.063136904,,,,,
722,55.501617,0.063157002,,,,,
723,55.853605,0.063558967,,,,,
724,55.466418,0.063116805,,,,,
725,55.853605,0.063558967,,,,,
726,55.448819,0.063096707,,,,,
727,55.501617,0.063157002,,,,,
728,55.466418,0.063116805,,,,,
729,55.519216,0.0631771,,,,,
730,55.484018,0.063136904,,,,,
731,55.836005,0.063538868,,,,,
732,55.800807,0.063498673,,,,,
733,55.853605,0.063558967,,,,,
734,55.783207,0.063478574,,,,,
735,55.466418,0.063116805,,,,,
736,55.484018,0.063136904,,,,,
737,55.466418,0.063116805,,,,,
738,55.484018,0.063136904,,,,,
739,55.800807,0.063498673,,,,,
740,55.71281,0.063398181,,,,,
741,55.43122,0.063076609,,,,,
742,55.466418,0.063116805,,,,,
743,55.466418,0.063116805,,,,,
744,55.818406,0.063518771,,,,,
745,55.69521,0.063378082,,,,,
746,55.783207,0.063478574,,,,,
747,55.466418,0.063116805,,,,,
748,55.748009,0.063438378,,,,,
749,55.43122,0.063076609,,,,,
750,55.43122,0.063076609,,,,,
751,55.765608,0.063458476,,,,,
752,55.748009,0.063438378,,,,,
753,55.448819,0.063096707,,,,,
754,55.660012,0.063337887,,,,,
755,55.378421,0.063016314,,,,,
756,55.41362,0.06305651,,,,,
757,55.730409,0.063418279,,,,,
758,55.43122,0.063076609,,,,,
759,55.41362,0.06305651,,,,,
760,55.748009,0.063438378,,,,,
761,55.41362,0.06305651,,,,,
762,55.71281,0.063398181,,,,,
763,55.69521,0.063378082,,,,,
764,55.71281,0.063398181,,,,,
765,55.730409,0.063418279,,,,,
766,55.730409,0.063418279,,,,,
767,55.800807,0.063498673,,,,,
768,55.748009,0.063438378,,,,,
769,55.642412,0.063317788,,,,,
